b_num,name,ticker,capiq_id,sic_code
B123482,"Host Hotels & Resorts, Inc. (NYSE:HST)",NYSE:HST,IQ29574,6798
B133026,Howmet Aerospace Inc. (NYSE:HWM),NYSE:HWM,IQ416264458,3720
B130499,HP Inc. (NYSE:HPQ),NYSE:HPQ,IQ108856,3570
B129662,Humana Inc. (NYSE:HUM),NYSE:HUM,IQ29618,6324
B132734,Huntington Bancshares Incorporated (NasdaqGS:HBAN),NasdaqGS:HBAN,IQ278614,6020
B125479,"Huntington Ingalls Industries, Inc. (NYSE:HII)",NYSE:HII,IQ363263,3730
B143428,IDEX Corporation (NYSE:IEX),NYSE:IEX,IQ29728,3561
B130890,"IDEXX Laboratories, Inc. (NasdaqGS:IDXX)",NasdaqGS:IDXX,IQ29729,2835
B137800,IHS Markit Ltd. (NYSE:INFO),NYSE:INFO,IQ13651733,7370
B144392,Illinois Tool Works Inc. (NYSE:ITW),NYSE:ITW,IQ280561,3560
B129192,"Illumina, Inc. (NasdaqGS:ILMN)",NasdaqGS:ILMN,IQ29753,3826
B123763,Incyte Corporation (NasdaqGS:INCY),NasdaqGS:INCY,IQ332954,2836
B130409,Ingersoll Rand Inc. (NYSE:IR),NYSE:IR,IQ334158,3560
B176084,Intel Corporation (NasdaqGS:INTC),NasdaqGS:INTC,IQ21127,3674
B123422,"Intercontinental Exchange, Inc. (NYSE:ICE)",NYSE:ICE,IQ1081952,6200
B143961,International Business Machines Corporation (NYSE:IBM),NYSE:IBM,IQ112350,7370
B142263,International Flavors & Fragrances Inc. (NYSE:IFF),NYSE:IFF,IQ281407,2860
B144192,International Paper Company (NYSE:IP),NYSE:IP,IQ61036,2631
B130196,Intuit Inc. (NasdaqGS:INTU),NasdaqGS:INTU,IQ21171,7372
B143264,"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",NasdaqGS:ISRG,IQ30239,3845
B143423,Invesco Ltd. (NYSE:IVZ),NYSE:IVZ,IQ384779,6282
B137771,IPG Photonics Corporation (NasdaqGS:IPGP),NasdaqGS:IPGP,IQ427949,3674
B143445,IQVIA Holdings Inc. (NYSE:IQV),NYSE:IQV,IQ137473239,8731
B178833,Iron Mountain Incorporated (NYSE:IRM),NYSE:IRM,IQ30292,6798
B143845,"J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)",NasdaqGS:JBHT,IQ278576,4213
B135374,"Jack Henry & Associates, Inc. (NasdaqGS:JKHY)",NasdaqGS:JKHY,IQ277617,7373
B137717,Jacobs Engineering Group Inc. (NYSE:J),NYSE:J,IQ282159,1600
B141292,Johnson & Johnson (NYSE:JNJ),NYSE:JNJ,IQ139677,2834
B141293,Johnson Controls International plc (NYSE:JCI),NYSE:JCI,IQ282590,3585
B143863,JPMorgan Chase & Co. (NYSE:JPM),NYSE:JPM,IQ658776,6020
B137704,"Juniper Networks, Inc. (NYSE:JNPR)",NYSE:JNPR,IQ30439,3576
B143888,Kansas City Southern (NYSE:KSU),NYSE:KSU,IQ30472,4011
B142374,Kellogg Company (NYSE:K),NYSE:K,IQ283356,2040
B117181,KeyCorp (NYSE:KEY),NYSE:KEY,IQ329376,6020
B141625,"Keysight Technologies, Inc. (NYSE:KEYS)",NYSE:KEYS,IQ247017859,3825
B123456,Nike,NYSE:NKE,IQ291981,
