date,price
01/28/1992,2.515625
12/28/1991,2.299479
11/28/1991,1.984375
10/28/1991,1.880208
09/28/1991,1.838542
08/28/1991,1.783854
07/28/1991,1.479167
06/28/1991,1.419271
05/28/1991,1.538194
04/28/1991,1.399306
03/28/1991,1.473958
02/28/1991,1.440972
01/28/1991,1.28125
12/28/1990,1.041667
11/28/1990,0.977431
10/28/1990,0.880208
09/28/1990,0.875
08/28/1990,0.873264
07/28/1990,0.958333
06/28/1990,1.0625
05/28/1990,1.03125
04/28/1990,0.78125
03/28/1990,0.770833
02/28/1990,0.685764
01/28/1990,0.630208
