date,ex_mkt,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10
201711,3.12,3.4667,1.1183,1.1656,2.44,1.3058,4.8085,4.306,2.465,3.2545,2.2297,8.0504,-1.4598,2.8846,7.0927,1.5601,2.4387,1.8508,1.7738,4.6867,6.5906,3.2201,2.2973,4.0478,0.6938,1.4841,0.0928,2.1907,1.5745,4.0493,2.4004,3.4594,0.0356,4.1187,5.4347,5.7298,3.4078,1.585,2.7617,0.632,-1.8943,4.2409,-0.167,4.3773,2.8656,4.9302,-0.1434,2.9744,2.2902,3.2517,5.9465,8.0791,1.7021,3.4952,3.7119,2.0474,6.2428,3.7421,4.0042,4.3656,2.1962
201712,1.06,7.0479,7.0675,-2.1278,1.7515,1.6486,-0.1865,-3.2321,-0.1005,-0.2627,1.6691,2.1878,-3.0757,1.0075,-0.3219,-0.6373,-0.7435,-3.0406,-0.3249,-0.8785,0.4745,1.921,1.1043,1.7016,0.4797,-0.2144,-3.2341,-0.872,0.419,0.5403,0.3727,-0.4578,-2.4,4.553,1.4619,-0.6589,-1.6724,-0.1167,-0.6088,-0.5803,4.2326,-0.191,0.6963,-1.1792,2.1961,-0.4192,-0.1948,-1.9363,-0.7753,-0.712,0.7568,1.0774,1.7118,-0.5564,-0.2895,1.3764,-0.2831,-1.5048,-1.8136,-0.223,3.0851
201801,5.58,-2.1391,10.455,5.595,6.8247,-0.4225,-3.0119,2.6824,3.1214,1.7869,0.4552,-2.1941,5.7486,2.0496,1.9322,5.4903,4.3809,2.2009,4.4944,0.8176,-2.9595,4.5862,3.8767,-3.0069,3.7244,4.0465,-0.0513,-0.3409,4.5519,2.2699,2.6498,2.0471,3.6809,1.6284,4.5203,1.5388,5.7152,2.5498,1.9043,1.7263,1.6271,3.2914,5.1442,3.3579,5.5185,3.7713,4.5096,2.2874,1.0362,-0.645,2.249,9.9615,1.3923,3.192,3.8798,3.9716,1.6231,10.4114,1.1327,4.4114,2.7323
201802,-3.65,0.4486,-6.0972,-6.0169,1.6983,-2.832,-5.5573,-6.2306,-2.3645,-2.5271,-5.2019,-3.9267,-0.7455,-0.5928,-1.4927,-2.5369,-5.5916,-3.1317,-2.9021,-1.2381,-6.8504,-3.8537,-4.2649,-4.4015,-1.5348,-3.3988,-3.0651,-4.1439,-1.489,-4.2872,-2.6396,-4.2939,-2.3,-1.8509,-2.9872,-4.7264,-4.577,-5.1038,-3.4589,-3.3715,-5.3722,0.4221,-2.3736,-7.3597,-5.1434,-1.7929,-7.0946,-3.221,-3.1422,-4.8898,-5.9144,-3.6052,-4.1609,-3.4956,-1.5308,-3.0612,-8.8149,-6.3287,-4.2859,-2.5129,-7.0298
201803,-2.35,1.7556,-0.8143,-1.5547,-4.6268,3.5868,-0.5483,4.3915,3.6395,4.2777,0.0604,3.9884,2.9682,-0.9701,1.1,-0.5377,1.3308,2.5386,1.8424,1.0587,4.8375,1.9643,2.2861,-1.466,2.3023,-1.3491,2.1593,1.7904,1.1107,1.5954,2.8204,3.3973,-0.309,-0.5921,2.3316,1.4015,1.6152,1.1565,1.7551,0.2981,-0.7015,0.8638,2.8265,2.3798,-0.7729,0.56,0.0893,-0.541,3.8804,1.4193,3.6482,4.6522,-0.157,0.4654,1.8398,-2.6916,-0.5677,2.5945,1.1147,-0.6033,0.2344
201804,0.29,-3.7236,2.2255,3.3484,3.357,1.0841,-0.3914,3.9394,-0.1658,0.9368,2.597,1.0302,-1.166,3.467,6.2175,0.151,1.2119,0.3713,0.6632,0.9815,0.616,3.3481,1.3085,-0.9592,-0.5234,2.2909,1.3643,0.4411,-0.9181,5.5616,4.1668,2.1102,-2.3521,1.8893,1.7279,1.4862,0.5033,1.0477,3.3521,2.9661,6.4965,1.6539,4.4124,-1.0452,0.8123,1.1032,1.1287,0.3509,1.3543,3.5716,3.3921,-2.6646,-2.0177,0.8772,0.3358,-2.9161,-4.5865,2.7376,1.697,-3.0883,-0.2894
201805,2.65,8.3938,33.906,9.4587,4.3906,4.8257,6.1382,10.4479,3.6475,6.5465,4.0659,13.7612,7.129,7.2898,11.271,9.3809,8.2908,6.0372,6.3179,8.6881,6.1674,12.1242,5.4255,6.0589,9.0266,10.007,4.8606,7.8239,5.7392,1.1133,1.3502,12.2784,6.6706,5.6103,7.1592,6.3369,7.4524,9.4337,6.9485,5.9521,4.6611,6.4029,12.0186,1.5305,8.5667,4.7451,7.1771,6.2243,6.1557,8.7936,7.9033,4.3232,4.0818,6.3788,4.4668,5.3921,1.8356,3.8872,4.2348,5.7158,-0.5153
201806,0.48,0.0397,3.8119,2.7315,1.7166,-3.5637,-0.771,1.5292,0.446,3.5667,-0.5177,3.5187,6.2732,1.349,4.1334,0.4042,2.1725,2.1887,0.084,0.9697,4.2826,0.4955,4.0139,3.3108,0.4943,-0.6497,0.7446,-0.8914,-0.3762,1.52,3.1029,-1.4012,1.0012,9.8879,2.336,0.7179,-0.885,-1.3016,-0.7813,-2.5557,3.4608,4.9826,-1.2297,1.7127,1.7711,1.0696,-0.6647,-0.6421,1.5448,-0.4767,-0.9667,-2.7576,-0.7365,0.994,0.3499,-0.3264,0.3851,2.1988,-1.6724,-0.6212,-4.6175
201807,3.19,-2.2148,-1.1832,-4.6371,2.4155,-1.8309,-0.5172,1.0262,-0.621,-0.268,-0.2859,-1.5969,-0.3402,-2.6827,0.4548,2.1092,2.4178,-2.2636,0.4239,-0.4961,1.5154,-1.5822,6.0006,2.872,2.0154,2.35,3.7848,-0.164,1.5708,2.0914,3.5392,-1.0597,1.7553,4.3669,6.9103,6.644,3.1045,2.4317,-0.4463,3.5247,2.5852,1.767,-0.3798,3.36,2.266,3.6011,-0.2177,-0.5179,2.9511,1.0531,-2.0086,2.7122,0.0836,2.2392,2.4174,2.7387,0.5677,4.3726,1.5976,0.2773,-1.8011
201808,3.44,4.6494,6.9066,11.3607,2.1608,2.8123,1.2893,1.7159,1.5886,4.0368,2.2962,5.5774,2.3232,10.2245,5.8591,6.6318,1.858,3.5072,0.636,1.8609,4.194,8.4708,9.6144,6.1185,4.1526,4.4855,3.9827,1.4232,1.6191,0.2029,5.3395,5.2007,6.5232,5.3246,3.2032,2.6315,4.5138,-1.9003,6.8979,2.3065,3.3815,4.5134,4.7091,3.1839,4.6801,3.0136,5.2762,1.1984,0.0718,3.7875,0.3575,7.0494,8.9543,10.5812,4.7239,1.7663,1.8911,3.8404,3.7059,4.3771,7.8369
