date,SnP
31-Jan-15,2050.032802
28-Feb-15,2107.778417
31-Mar-15,2067.887241
30-Apr-15,2085.513653
31-May-15,2109.597193
30-Jun-15,2063.111832
31-Jul-15,2103.835365
31-Aug-15,1972.184689
30-Sep-15,1920.026552
31-Oct-15,2109.787523
30-Nov-15,2080.406829
31-Dec-15,2043.936863
31-Jan-16,1903.031513
29-Feb-16,1932.226395
31-Mar-16,2059.741177
30-Apr-16,2063.366854
31-May-16,2096.964195
30-Jun-16,2098.855227
31-Jul-16,2157.028649
31-Aug-16,2170.946958
30-Sep-16,2168.27209
31-Oct-16,2126.153297
30-Nov-16,2198.810449
31-Dec-16,2257.828026
31-Jan-17,2278.866891
28-Feb-17,2363.638197
31-Mar-17,2362.71822
30-Apr-17,2391.165942
31-May-17,2411.797324
30-Jun-17,2423.408891
31-Jul-17,2470.300025
31-Aug-17,2471.650208
30-Sep-17,2534.579683
31-Oct-17,2575.26383
30-Nov-17,2647.579927
31-Dec-17,2695.809772
31-Jan-18,2823.809937
28-Feb-18,2713.830539
31-Mar-18,2614.445671
30-Apr-18,2648.049365
31-May-18,2705.274752
30-Jun-18,2713.220886
31-Jul-18,2816.288631
31-Aug-18,2901.517677
30-Sep-18,2923.433453
31-Oct-18,2711.744408
30-Nov-18,2760.174257
31-Dec-18,2506.847183
31-Jan-19,2704.10058
28-Feb-19,2784.491359
31-Mar-19,2867.236444
30-Apr-19,2945.830887
31-May-19,2752.062886
30-Jun-19,2973.011928
31-Jul-19,2980.378854
31-Aug-19,2906.271106
30-Sep-19,2976.737272
31-Oct-19,3037.564435
30-Nov-19,3093.200913
31-Dec-19,3230.78195
31-Jan-20,3225.516316
29-Feb-20,3003.365172
31-Mar-20,2584.59076
30-Apr-20,2912.430525
31-May-20,3080.822168
30-Jun-20,3100.285129
31-Jul-20,3271.12488
31-Aug-20,3500.30852
30-Sep-20,3362.998988
31-Oct-20,3269.96
,
